s_noun	s_noun_freq	s_noun_nfreq	s_noun_vfreq	s_noun_direct_div	s_noun_indirect_div	p_noun	p_noun_freq	p_noun_nfreq	p_noun_vfreq	p_noun_direct_div	p_noun_indirect_div	sp_freq_diff
isometry	2.9279	2.9258	0	1.1461	2.6503	isometries	2.7497	2.7497	0	1.1461	2.5024	0.1781
walker	5.0084	3.4887	0.8451	1.7634	3.3418	walkers	3.8361	3.7288	0	2.2304	3.457	1.1723
layer	4.7744	4.7649	2.3502	2.7701	3.905	layers	4.5492	4.5453	2.0864	2.6128	3.8634	0.2252
form	5.8389	5.662	5.3484	3.0983	4.3398	forms	5.3446	5.1693	4.8551	2.8971	4.1472	0.4944
retriever	3.1575	2.9566	0.4771	1.5051	2.96	retrievers	2.7882	2.6325	0.4771	1.3979	2.6628	0.3693
bulletin	4.3458	3.9404	0	2.2095	3.506	bulletins	3.6648	3.6425	0	1.8865	3.2728	0.681
fossil	4.5075	4.3189	0.699	1.9731	3.6136	fossils	4.4355	4.4287	1.0792	2.2122	3.5298	0.0721
attempt	5.303	5.2073	4.5957	2.781	4.1891	attempts	5.1022	4.9339	4.6083	2.7251	4.081	0.2008
tweeter	2.7059	2.5786	0	1.0414	2.6758	tweeters	2.415	2.3784	0	1.1461	2.549	0.2909
vendor	3.9456	3.8934	1.0414	2.2405	3.5632	vendors	4.1358	4.1306	0.7782	2.5877	3.6379	-0.1902
possibility	4.7817	4.7799	0	2.3997	4.031	possibilities	4.238	4.2276	0	2.0792	3.7906	0.5438
bettor	2.6053	2.5587	0	1.3802	2.6794	bettors	2.5328	2.5315	0	1.4771	2.7118	0.0726
basalt	3.8511	3.7767	0	1.7559	3.3028	basalts	3.1106	3.092	0.6021	1.6532	2.8222	0.7405
switch	4.6903	4.4267	4.2206	2.5185	3.8019	switches	4.1475	3.9834	3.6392	2.1847	3.5457	0.5428
rank	5.1296	5.0857	3.8765	2.4713	3.9251	ranks	4.7907	4.6578	4.1892	2.4065	3.8658	0.339
shearer	3.6754	2.5315	0.7782	1.2041	2.5855	shearers	2.7931	2.6981	0	1.4624	2.8028	0.8823
autopilot	3.2778	3.2256	0.9031	1.7634	3.1956	autopilots	2.0569	2.0453	0.301	0.699	2.2672	1.2209
researcher	4.4992	4.4891	0.301	2.5899	3.7324	researchers	4.8311	4.8267	0	3.0561	3.9219	-0.3319
charge	5.2403	5.1987	4.0722	2.6803	4.0964	charges	4.9538	4.9365	3.5193	2.5855	3.9813	0.2865
