Victoria Adelaide Mary	Albert Augustus Charles
Edward_VII of house of Wettin	Albert Augustus Charles
Alice Maud Mary	Albert Augustus Charles
Alfred Ernest Albert	Albert Augustus Charles
Helena Augusta Victoria	Albert Augustus Charles
Louise Caroline Alberta	Albert Augustus Charles
Arthur William Patrick	Albert Augustus Charles
Leopold George Duncan	Albert Augustus Charles
Beatrice Mary Victoria	Albert Augustus Charles
Albert Victor Christian	Edward_VII of house of Wettin
George_V of house of Windsor	Edward_VII of house of Wettin
Louise Victoria Alexandra	Edward_VII of house of Wettin
Victoria Alexandra Olga	Edward_VII of house of Wettin
Maude Charlotte Mary	Edward_VII of house of Wettin
John Alexander	Edward_VII of house of Wettin
William_II	Frederick_III
Charlotte of_Saxe- Meiningen	Frederick_III
Henry of_Prussia	Frederick_III
Sigismund	Frederick_III
Victoria	Frederick_III
Waldemar	Frederick_III
Sophie of_Prussia	Frederick_III
Margarete of_Hesse	Frederick_III
Olga Nicholovna of house of Romanov	Nicholas_II Alexandrovich of house of Romanov
Tatiana Nicholovna	Nicholas_II Alexandrovich of house of Romanov
Maria Nicholovna of house of Romanov	Nicholas_II Alexandrovich of house of Romanov
Anastasia Nicholovna of house of Romanov	Nicholas_II Alexandrovich of house of Romanov
Alexis Nicolaievich of house of Romanov	Nicholas_II Alexandrovich of house of Romanov
Alice of_Athlone	Leopold George Duncan
Charles Edward	Leopold George Duncan
Alexander of_Carisbrooke	Henry Maurice of_Battenberg
Victoria Eugenie "Ena"	Henry Maurice of_Battenberg
Leopold	Henry Maurice of_Battenberg
Maurice	Henry Maurice of_Battenberg
Edward_VIII of house of Windsor	George_V of house of Windsor
George_VI of house of Windsor	George_V of house of Windsor
Mary of house of Windsor	George_V of house of Windsor
Henry William Frederick of house of Windsor	George_V of house of Windsor
George Edward Alexander of house of Windsor	George_V of house of Windsor
John Charles Francis of house of Windsor	George_V of house of Windsor
Victoria Alberta of_Hesse	Louis_IV of_Hesse
Elizabeth "Ella"	Louis_IV of_Hesse
Irene of_Hesse	Louis_IV of_Hesse
Ernest Louis of_Hesse	Louis_IV of_Hesse
Frederick	Louis_IV of_Hesse
Alexandra Fedorovna "Alix"	Louis_IV of_Hesse
Mary "May"	Louis_IV of_Hesse
Nicholas_II Alexandrovich of house of Romanov	Alexander_III Alexandrovich of house of Romanov
Alexander Alexandrovich of house of Romanov	Alexander_III Alexandrovich of house of Romanov
George Alexandrovich of house of Romanov	Alexander_III Alexandrovich of house of Romanov
Xenia of house of Romanov	Alexander_III Alexandrovich of house of Romanov
Michael "Mischa" Alexandrovich of house of Romanov	Alexander_III Alexandrovich of house of Romanov
Olga Alexandrovna of house of Romanov	Alexander_III Alexandrovich of house of Romanov
Alexander_II Nicholoevich of house of Romanov	Nicholas_I of house of Romanov
Constantine Nikolaievitch of_Russia	Nicholas_I of house of Romanov
Nicholas of house of Romanov #2	Nicholas_I of house of Romanov
Michael of house of Romanov	Nicholas_I of house of Romanov
Alexandra Alexandrovna of house of Romanov	Alexander_II Nicholoevich of house of Romanov
Nicholas Alexandrovich of house of Romanov	Alexander_II Nicholoevich of house of Romanov
